artist_id,artist_name,artist_genre,last_updated_datetime_utc
6zUWZmyi5MLOEynQ5wCI5f,Da LAB,indie viet,2024-04-23 01:16:41.695192
4bPYvyUn1mWwUwIW57oST2,Emcee L (Da LAB),v-pop,2024-04-23 01:16:41.695192
